original_index,review_text,review_text_processed,review_text_tokenized,polarity,rating,kfold_polarity,kfold_rating
57902,Muito lindo ,muito lindo ,"['muito', 'lindo']",1.0,4,4,4
44445,"estou desapontado, já paguei ao stark 2 parcelas e não recebi o produto .","estou desapontado, ja paguei ao stark 2 parcelas e nao recebi o produto .","['estou', 'desapontado', 'ja', 'paguei', 'ao', 'stark', 'parcelas', 'nao', 'recebi', 'produto']",0.0,1,8,8
40301,Bom produto.,bom produto.,"['bom', 'produto']",1.0,5,9,9
77904,"gostei muito,totalmente agil e confiavél,recomendo á todos!","gostei muito,totalmente agil e confiavel,recomendo a todos!","['gostei', 'muito', 'totalmente', 'agil', 'confiavel', 'recomendo', 'todos']",1.0,5,5,5
56458,Horrível,horrivel,['horrivel'],0.0,1,8,8
63215,Adquiri duas unidades do produto e apenas uma chegou. E nao tenho noticia da outra. ,adquiri duas unidades do produto e apenas uma chegou. e nao tenho noticia da outra. ,"['adquiri', 'duas', 'unidades', 'do', 'produto', 'apenas', 'uma', 'chegou', 'nao', 'tenho', 'noticia', 'da', 'outra']",0.0,1,4,4
86034,Nao recebi o produti conforme a compra comprei 2 intens e so recebi 1 visando que ja entrei em contato e exatamente as 18hrs de hj compretou as 48hrs e nada de resposta da loja.,nao recebi o produti conforme a compra comprei 2 intens e so recebi 1 visando que ja entrei em contato e exatamente as 18hrs de hj compretou as 48hrs e nada de resposta da loja.,"['nao', 'recebi', 'produti', 'conforme', 'compra', 'comprei', 'intens', 'so', 'recebi', 'visando', 'que', 'ja', 'entrei', 'em', 'contato', 'exatamente', 'as', '18hrs', 'de', 'hj', 'compretou', 'as', '48hrs', 'nada', 'de', 'resposta', 'da', 'loja']",0.0,1,2,2
66391,Chegou antes do prazo. Piscina muito bonita. Superou as expectativas ,chegou antes do prazo. piscina muito bonita. superou as expectativas ,"['chegou', 'antes', 'do', 'prazo', 'piscina', 'muito', 'bonita', 'superou', 'as', 'expectativas']",1.0,5,7,7
19003,"Produto muito bom superou minhas expectativas, entrega foi bem antes do previsto, pediu 32 dias úteis e entregou com 8 dias úteis porisso eu recomendo a todos e de confiança parabéns","produto muito bom superou minhas expectativas, entrega foi bem antes do previsto, pediu 32 dias uteis e entregou com 8 dias uteis porisso eu recomendo a todos e de confianca parabens","['produto', 'muito', 'bom', 'superou', 'minhas', 'expectativas', 'entrega', 'foi', 'bem', 'antes', 'do', 'previsto', 'pediu', '32', 'dias', 'uteis', 'entregou', 'com', 'dias', 'uteis', 'porisso', 'eu', 'recomendo', 'todos', 'de', 'confianca', 'parabens']",1.0,5,2,2
87951,Antes do prazo. ótimo. Recomendo.,antes do prazo. otimo. recomendo.,"['antes', 'do', 'prazo', 'otimo', 'recomendo']",1.0,5,7,7
51722,"produto chegou MUITO RÁPIDO, de qualidade, recomendo","produto chegou muito rapido, de qualidade, recomendo","['produto', 'chegou', 'muito', 'rapido', 'de', 'qualidade', 'recomendo']",1.0,5,2,2
78346,Nunca tive problemas em comprar na lannister e sempre fui bem atendida.,nunca tive problemas em comprar na lannister e sempre fui bem atendida.,"['nunca', 'tive', 'problemas', 'em', 'comprar', 'na', 'lannister', 'sempre', 'fui', 'bem', 'atendida']",1.0,5,2,2
84221,Veio outro produto,veio outro produto,"['veio', 'outro', 'produto']",0.0,1,1,1
4806,Chegou o produto errado,chegou o produto errado,"['chegou', 'produto', 'errado']",0.0,2,9,9
